subject,game,game_name,day,lag1_autocorr,n_steps
sub_4,1,Pong,4,0.8080837265362983,11622
sub_4,1,Pong,4,0.7954253116722467,11681
sub_4,1,Pong,4,0.768965179677929,11571
sub_4,2,SpaceInvaders,1,0.7348895532802808,4342
sub_4,2,SpaceInvaders,1,0.7915034858450808,3443
sub_4,2,SpaceInvaders,1,0.7444531092295411,10498
sub_4,2,SpaceInvaders,1,0.76589724039832,12459
sub_4,2,SpaceInvaders,1,0.75706573725739,8503
sub_4,2,SpaceInvaders,2,0.738564246797167,4009
sub_4,2,SpaceInvaders,2,0.7440041506507691,6181
sub_4,2,SpaceInvaders,2,0.7520444611021128,10765
sub_4,2,SpaceInvaders,2,0.7731901109304228,11571
sub_4,2,SpaceInvaders,2,0.7578950798314512,8471
sub_4,2,SpaceInvaders,2,0.7099405029906924,868
sub_4,2,SpaceInvaders,2,0.746626900007346,7557
sub_4,2,SpaceInvaders,2,0.7640916988978178,9123
sub_4,2,SpaceInvaders,2,0.6830043067466744,2505
sub_4,2,SpaceInvaders,3,0.7629603195597812,9069
sub_4,2,SpaceInvaders,3,0.7742001476520654,7853
sub_4,2,SpaceInvaders,3,0.7477758013773517,3553
sub_4,2,SpaceInvaders,3,0.7442332737494219,7115
sub_4,2,SpaceInvaders,3,0.7349680222894552,2055
sub_4,2,SpaceInvaders,3,0.7065168592764608,4053
sub_4,2,SpaceInvaders,3,0.802871939531408,2907
sub_4,2,SpaceInvaders,3,0.7356655367663567,3468
sub_4,2,SpaceInvaders,3,0.688897001325661,11553
sub_4,2,SpaceInvaders,3,0.7339625595439554,3367
sub_4,2,SpaceInvaders,3,0.692668495860839,3095
sub_4,2,SpaceInvaders,3,0.7041038086329748,1031
sub_4,2,SpaceInvaders,4,0.7886651930903102,8397
sub_4,2,SpaceInvaders,4,0.7726857106324649,9305
sub_4,2,SpaceInvaders,4,0.7330130604400694,2152
sub_4,2,SpaceInvaders,4,0.7326660346318565,4289
sub_4,2,SpaceInvaders,4,0.7769568863728528,6231
sub_4,2,SpaceInvaders,4,0.7144308226869561,8178
sub_4,2,SpaceInvaders,4,0.7092208331739831,8623
sub_4,2,SpaceInvaders,4,0.6680123072499359,8373
sub_4,2,SpaceInvaders,4,0.8768292365577433,407
sub_5,1,Pong,1,0.8467841416953602,11540
sub_5,1,Pong,1,0.8601276268805678,11543
sub_5,1,Pong,2,0.8728876341013511,11636
sub_5,1,Pong,2,0.874590455779002,11659
sub_5,1,Pong,2,0.8804091527699318,11674
sub_5,1,Pong,3,0.8672291796107788,11757
sub_5,1,Pong,3,0.8723537123903199,11692
sub_5,1,Pong,3,0.8608189668786312,11646
sub_5,1,Pong,4,0.8610653060369845,11727
sub_5,1,Pong,4,0.8728634603129195,11666
sub_5,1,Pong,4,0.8656334952519035,11664
sub_5,2,SpaceInvaders,1,0.8947949844871504,5549
sub_5,2,SpaceInvaders,1,0.9084157106896804,6131
sub_5,2,SpaceInvaders,1,0.9071881459108672,4905
sub_5,2,SpaceInvaders,1,0.9080443002477108,4165
sub_5,2,SpaceInvaders,1,0.8920767446950807,5061
sub_5,2,SpaceInvaders,1,0.8841687183966354,4978
sub_5,2,SpaceInvaders,1,0.9044432927919764,4893
sub_5,2,SpaceInvaders,1,0.9088364429563709,4999
sub_5,2,SpaceInvaders,1,0.9203441295546558,760
sub_5,2,SpaceInvaders,2,0.9043973463705571,4877
sub_5,2,SpaceInvaders,2,0.9049382795844235,5731
sub_5,2,SpaceInvaders,2,0.9103440852849819,4905
sub_5,2,SpaceInvaders,2,0.8982949698868189,5143
sub_5,2,SpaceInvaders,2,0.9472784958871917,148
sub_5,2,SpaceInvaders,2,0.8693800080615557,4113
sub_5,2,SpaceInvaders,2,0.8983319741506562,5009
sub_5,2,SpaceInvaders,2,0.8921887303358157,4443
sub_5,2,SpaceInvaders,2,0.9014298403854614,4089
sub_5,2,SpaceInvaders,2,0.8994776013373459,1602
sub_5,2,SpaceInvaders,2,0.8902400297534915,4547
sub_5,2,SpaceInvaders,2,0.8863282994324516,4899
sub_5,2,SpaceInvaders,2,0.879444138636753,4965
sub_5,2,SpaceInvaders,2,0.8729277372077415,2476
sub_5,2,SpaceInvaders,3,0.8742603324034096,4863
sub_5,2,SpaceInvaders,3,0.8816961496581919,5013
sub_5,2,SpaceInvaders,3,0.8876442930968507,4607
sub_5,2,SpaceInvaders,3,0.913143105530871,5501
sub_5,2,SpaceInvaders,3,0.89379305196426,8435
sub_5,2,SpaceInvaders,3,0.8999778301213915,4535
sub_5,2,SpaceInvaders,3,0.894572671797586,3920
sub_5,2,SpaceInvaders,3,0.8905506162076592,8071
sub_5,2,SpaceInvaders,3,0.8770487307768124,4225
sub_5,2,SpaceInvaders,3,0.8997379828178725,4486
sub_5,2,SpaceInvaders,4,0.8982330416170895,4173
sub_5,2,SpaceInvaders,4,0.8935163510377258,4349
sub_5,2,SpaceInvaders,4,0.8844424867139165,8953
sub_5,2,SpaceInvaders,4,0.8960615034681191,3233
sub_5,2,SpaceInvaders,4,0.8866530046782107,3514
sub_5,2,SpaceInvaders,4,0.8831766419030421,6449
sub_5,2,SpaceInvaders,4,0.8967212294001016,4257
sub_5,2,SpaceInvaders,4,0.892098950612767,4152
sub_5,2,SpaceInvaders,4,0.871461800705267,4159
sub_5,2,SpaceInvaders,4,0.8726402237841147,4193
sub_5,2,SpaceInvaders,4,0.8876719412312318,4626
sub_5,2,SpaceInvaders,4,0.8967558222474639,4261
sub_5,2,SpaceInvaders,4,0.9138088398957965,378
sub_6,1,Pong,1,0.8475617033455904,11819
sub_6,1,Pong,1,0.8625960125583638,11777
sub_6,1,Pong,2,0.8460585787245685,11710
sub_6,1,Pong,2,0.8514864370418005,11681
sub_6,1,Pong,2,0.8253874592604057,11653
sub_6,1,Pong,3,0.8437713361693533,11662
sub_6,1,Pong,3,0.8289601484522309,11705
sub_6,1,Pong,3,0.847867081290067,11672
sub_6,1,Pong,4,0.7775775360555066,11674
sub_6,1,Pong,4,0.7882003728547249,11632
sub_6,1,Pong,4,0.8246095763708857,11631
sub_6,2,SpaceInvaders,1,0.8320709528087814,2727
sub_6,2,SpaceInvaders,1,0.8155500988154248,3205
sub_6,2,SpaceInvaders,1,0.8158729122990652,4200
sub_6,2,SpaceInvaders,1,0.8249371169638965,3965
sub_6,2,SpaceInvaders,1,0.830664437932799,2877
sub_6,2,SpaceInvaders,1,0.8875970047018011,3970
sub_6,2,SpaceInvaders,1,0.8010159998715937,4453
sub_6,2,SpaceInvaders,1,0.7257580636625482,2899
sub_6,2,SpaceInvaders,1,0.790482084728853,3621
sub_6,2,SpaceInvaders,1,0.8416982153231363,4283
sub_6,2,SpaceInvaders,1,0.8151243033330521,4289
sub_6,2,SpaceInvaders,2,0.7427701376709126,3713
sub_6,2,SpaceInvaders,2,0.7674972058957334,4289
sub_6,2,SpaceInvaders,2,0.8434430424807836,3895
sub_6,2,SpaceInvaders,2,0.9075638565252206,4143
