event_id,file,subject,session,block,game,chunk,start_pos,end_pos,pre_pos,commit_pos,length_real_steps,start_global_idx,end_global_idx,commit_global_idx,commit_action,entropy_at_pre,entropy_at_onset,entropy_at_commit,margin_at_pre,margin_at_onset,margin_at_commit,q_gap_at_pre,q_gap_at_onset,q_gap_at_commit,rollout_spread_at_pre,rollout_spread_at_onset,rollout_spread_at_commit,cross2,is_long,bout_class
sub001-ses04-block4-game2_000::b0083,test/sub001/ses-04/sub001-ses04-block4-game2_000.npy,sub001,04,4,2,000,1625,1647,1624,1648,23,82669,83755,83807,2,0.9123679032878929,0.9472345244623935,0.8283748079179879,0.47504058093356616,0.4181293556549116,0.6264892714680275,3.9196953773498535,0.0,0.025188922882080078,0.6473000049591064,0.0,0.056098222732543945,26,0,Short
sub001-ses04-block4-game2_000::b0084,test/sub001/ses-04/sub001-ses04-block4-game2_000.npy,sub001,04,4,2,000,1673,1673,1672,1674,1,85030,85030,85079,1,0.9874372807306084,1.0200418303235386,0.7830471772425549,0.44410998216168857,0.4431537951872151,0.53719950022702,0.01538991928100586,3.2531418800354004,0.4203810691833496,0.27485132217407227,0.0,0.5674755573272705,26,0,Short
sub001-ses04-block4-game2_000::b0085,test/sub001/ses-04/sub001-ses04-block4-game2_000.npy,sub001,04,4,2,000,1678,1680,1677,1681,3,85282,85376,85426,1,0.9689958483214205,0.8476076639539571,0.9614338268524136,0.3937313371003843,0.49215926697147216,0.4113300805052589,0.014831304550170898,3.7008001804351807,3.5221481323242188,0.2873382568359375,0.57651686668396,0.2912135124206543,26,0,Short
sub001-ses04-block4-game2_000::b0086,test/sub001/ses-04/sub001-ses04-block4-game2_000.npy,sub001,04,4,2,000,1684,1691,1683,1692,8,85568,85899,85948,1,0.863269709224443,0.8666963263180371,1.0269719988065054,0.4993918789972492,0.46144815018819274,0.3133423240369576,0.06190156936645508,3.4512548446655273,0.0,0.24991178512573242,0.00486302375793457,0.0,26,0,Short
sub001-ses04-block4-game2_000::b0087,test/sub001/ses-04/sub001-ses04-block4-game2_000.npy,sub001,04,4,2,000,1702,1704,1701,1705,3,86442,86540,86589,1,0.8565236358386412,0.9326186690489584,1.0409568698266605,0.4802186864338528,0.5211066050074973,0.29112626448692547,0.05233311653137207,0.0,0.0,0.0,0.0,0.0,26,0,Short
sub001-ses04-block4-game2_000::b0088,test/sub001/ses-04/sub001-ses04-block4-game2_000.npy,sub001,04,4,2,000,1709,1709,1708,1710,1,86784,86784,86834,1,0.8163323016959454,0.7927744180948084,0.9374828226771489,0.5301602670804444,0.5484248724812004,0.32488980707347576,0.0,0.0,0.033185720443725586,0.0,0.0,0.15610766410827637,26,0,Short
sub001-ses04-block4-game2_000::b0089,test/sub001/ses-04/sub001-ses04-block4-game2_000.npy,sub001,04,4,2,000,1714,1716,1713,1717,3,87036,87130,87179,1,0.7864741546515384,0.7984507294575034,0.9888635476618479,0.5448475106614409,0.5388235800546766,0.21660252189969748,0.4386024475097656,0.06713032722473145,0.0,0.5161895751953125,0.404618501663208,0.0,26,0,Short
sub001-ses04-block4-game2_000::b0090,test/sub001/ses-04/sub001-ses04-block4-game2_000.npy,sub001,04,4,2,000,1721,1722,1720,1723,2,87383,87433,87483,1,0.7652894197382302,0.7679334291708824,0.9913329193371273,0.5707033459446498,0.6128619925134846,0.24978925569975913,0.20407891273498535,3.7099406719207764,0.10742592811584473,0.6782493591308594,0.8856229782104492,0.44399023056030273,26,0,Short
sub001-ses04-block4-game2_000::b0091,test/sub001/ses-04/sub001-ses04-block4-game2_000.npy,sub001,04,4,2,000,1727,1728,1726,1729,2,87685,87736,87787,1,0.7412977928779547,0.8222170103649843,1.1778055828597596,0.5929601400054424,0.583065268386873,0.3500239168131928,3.956868886947632,0.0,0.200056791305542,0.615506649017334,0.0,0.4409327507019043,26,0,Short
sub001-ses04-block4-game2_000::b0092,test/sub001/ses-04/sub001-ses04-block4-game2_000.npy,sub001,04,4,2,000,1733,1734,1732,1735,2,87991,88038,88087,1,0.8414582344748611,0.8615105013577073,1.000981107304482,0.557877301446435,0.5143576845558376,0.23441975781971303,3.866436719894409,0.0,0.008367300033569336,0.03182363510131836,0.0,0.7105457782745361,26,0,Short
