subject,game,game_name,day,bout_length
sub_1,1,Pong,1,151
sub_1,1,Pong,1,62
sub_1,1,Pong,1,18
sub_1,1,Pong,1,153
sub_1,1,Pong,1,12
sub_1,1,Pong,1,52
sub_1,1,Pong,1,42
sub_1,1,Pong,1,94
sub_1,1,Pong,1,14
sub_1,1,Pong,1,28
sub_1,1,Pong,1,29
sub_1,1,Pong,1,78
sub_1,1,Pong,1,52
sub_1,1,Pong,1,66
sub_1,1,Pong,1,183
sub_1,1,Pong,1,41
sub_1,1,Pong,1,170
sub_1,1,Pong,1,81
sub_1,1,Pong,1,137
sub_1,1,Pong,1,25
sub_1,1,Pong,1,30
sub_1,1,Pong,1,16
sub_1,1,Pong,1,15
sub_1,1,Pong,1,84
sub_1,1,Pong,1,172
sub_1,1,Pong,1,10
sub_1,1,Pong,2,71
sub_1,1,Pong,2,18
sub_1,1,Pong,2,25
sub_1,1,Pong,2,21
sub_1,1,Pong,2,30
sub_1,1,Pong,2,20
sub_1,1,Pong,2,10
sub_1,1,Pong,2,24
sub_1,1,Pong,2,34
sub_1,1,Pong,2,9
sub_1,1,Pong,2,146
sub_1,1,Pong,2,58
sub_1,1,Pong,2,19
sub_1,1,Pong,2,25
sub_1,1,Pong,2,141
sub_1,1,Pong,2,7
sub_1,1,Pong,2,10
sub_1,1,Pong,2,67
sub_1,1,Pong,2,166
sub_1,1,Pong,2,6
sub_1,1,Pong,2,39
sub_1,1,Pong,2,8
sub_1,1,Pong,2,32
sub_1,1,Pong,2,32
sub_1,1,Pong,2,27
sub_1,1,Pong,2,17
sub_1,1,Pong,2,143
sub_1,1,Pong,2,8
sub_1,1,Pong,2,32
sub_1,1,Pong,2,23
sub_1,1,Pong,2,145
sub_1,1,Pong,2,22
sub_1,1,Pong,2,11
sub_1,1,Pong,2,24
sub_1,1,Pong,2,22
sub_1,1,Pong,2,35
sub_1,1,Pong,2,122
sub_1,1,Pong,2,9
sub_1,1,Pong,2,4
sub_1,1,Pong,2,19
sub_1,1,Pong,2,7
sub_1,1,Pong,2,56
sub_1,1,Pong,2,36
sub_1,1,Pong,2,26
sub_1,1,Pong,2,8
sub_1,1,Pong,2,2
sub_1,1,Pong,2,131
sub_1,1,Pong,2,8
sub_1,1,Pong,2,19
sub_1,1,Pong,2,34
sub_1,1,Pong,2,156
sub_1,1,Pong,2,51
sub_1,1,Pong,2,23
sub_1,1,Pong,2,157
sub_1,1,Pong,2,224
sub_1,1,Pong,2,56
sub_1,1,Pong,2,18
sub_1,1,Pong,2,14
sub_1,1,Pong,2,116
sub_1,1,Pong,2,132
sub_1,1,Pong,2,16
sub_1,1,Pong,2,31
sub_1,1,Pong,2,36
sub_1,1,Pong,2,8
sub_1,1,Pong,2,205
sub_1,1,Pong,2,22
sub_1,1,Pong,2,4
sub_1,1,Pong,2,43
sub_1,1,Pong,2,12
sub_1,1,Pong,2,36
sub_1,1,Pong,2,44
sub_1,1,Pong,2,17
sub_1,1,Pong,2,29
sub_1,1,Pong,2,12
sub_1,1,Pong,2,7
sub_1,1,Pong,2,4
