subject,subject_label,session,block,game_id,game_name,episode_index,n_withholding_preceded,n_not_preceded,reward_withholding_preceded_mean,reward_not_preceded_mean,reward_difference,episode_label
sub-002,S2,2,1,0,Enduro,0,421,6413,0.09501187648456057,0.05005457664119757,0.044957299843363,ses02-block01-ep00
sub-002,S2,2,4,0,Enduro,0,348,7065,0.11206896551724138,0.04529370134465676,0.06677526417258461,ses02-block04-ep00
sub-002,S2,2,4,0,Enduro,1,12,376,0.08333333333333333,0.09308510638297872,-0.00975177304964539,ses02-block04-ep01
sub-002,S2,2,8,0,Enduro,0,485,5792,0.1134020618556701,0.07717541436464088,0.03622664749102922,ses02-block08-ep00
sub-002,S2,3,3,0,Enduro,0,359,8067,0.13370473537604458,0.05479112433370522,0.07891361104233935,ses03-block03-ep00
sub-002,S2,3,5,0,Enduro,0,431,6209,0.09048723897911833,0.060718312127556774,0.02976892685156155,ses03-block05-ep00
sub-002,S2,3,9,0,Enduro,0,399,7196,0.11278195488721804,0.05725403001667593,0.05552792487054211,ses03-block09-ep00
sub-002,S2,4,3,0,Enduro,0,416,7278,0.10336538461538461,0.06237977466336906,0.04098560995201555,ses04-block03-ep00
sub-002,S2,4,5,0,Enduro,0,444,7194,0.10135135135135136,0.05726994717820406,0.0440814041731473,ses04-block05-ep00
sub-002,S2,4,9,0,Enduro,0,436,5286,0.11697247706422019,0.0762391222096103,0.040733354854609896,ses04-block09-ep00
sub-002,S2,1,4,1,Pong,0,168,664,0.0,-0.018072289156626505,0.018072289156626505,ses01-block04-ep00
sub-002,S2,1,6,1,Pong,0,135,688,0.0,-0.010174418604651164,0.010174418604651164,ses01-block06-ep00
sub-002,S2,2,3,1,Pong,0,172,773,0.0,-0.01034928848641656,0.01034928848641656,ses02-block03-ep00
sub-002,S2,2,5,1,Pong,0,174,822,0.0,-0.00851581508515815,0.00851581508515815,ses02-block05-ep00
sub-002,S2,2,7,1,Pong,0,149,820,0.0,-0.00975609756097561,0.00975609756097561,ses02-block07-ep00
sub-002,S2,3,2,1,Pong,0,207,1048,0.0,-0.007633587786259542,0.007633587786259542,ses03-block02-ep00
