address,slot_name,is_key_slot,is_annotated_slot,trace_excluded,n_unique,value_min,value_max,value_range,pearson_r,r2,mae,normalized_mae,rounded_acc,majority_acc,acc_gain,pearson_rank,r2_rank,acc_gain_rank
64,,0,0,0,7,30.0,126.0,96.0,-0.004247661668702109,-0.5889624793818642,12.428842096762258,0.12946710517460686,0.03553712287549809,0.852870618850126,-0.817333495974628,81,86,122
65,,0,0,0,6,30.0,126.0,96.0,0.02627601117105687,-0.52168968193906,11.685395471505094,0.12172286949484473,0.04214442546962674,0.8692160689599089,-0.8270716434902822,69,80,124
66,,0,0,0,10,50.0,255.0,205.0,0.30505076825567234,-0.12216764557857052,60.03009863645069,0.2928297494461009,0.09849963405708709,0.4710701797186306,-0.37257054566154346,40,48,91
67,,0,0,0,10,62.0,255.0,193.0,0.262580005322649,-0.20459088537285264,63.674456372012486,0.3299194630674222,0.10248434577539237,0.4710701797186306,-0.3685858339432382,45,65,90
68,,0,0,0,10,31.0,255.0,224.0,0.11406895617023666,-0.4013992835635041,58.047289142979345,0.2591396836740149,0.16327152964137595,0.6732536390989672,-0.5099821094575913,58,73,104
69,,0,0,0,6,3.0,195.0,192.0,0.08129987964743023,-0.42735122720783814,60.8321196149789,0.3168339563280151,0.005895746930145564,0.6741481662194031,-0.6682524192892575,64,75,115
70,,0,0,0,8,0.0,255.0,255.0,0.3783358442321579,0.004363073484070945,71.92539476756983,0.28206037163752873,0.03551679271367,0.2199520208180857,-0.1844352281044157,33,35,70
71,,0,0,0,1,0.0,0.0,0.0,,,0.0,,1.0,1.0,0.0,90,90,3
72,,0,0,0,156,0.0,250.0,250.0,0.02147054108691514,-0.15449481356844652,63.97314261056218,0.2558925704422487,0.003618768805399691,0.21096608929007074,-0.20734732048467105,70,54,72
73,num_lives,1,1,0,4,0.0,3.0,3.0,-0.04376579572962654,-0.7306552012983185,0.7771732954147377,0.2590577651382459,0.40967309099780436,0.5977677482312759,-0.18809465723347152,86,89,71
74,,0,0,0,256,0.0,255.0,255.0,0.20210410401298518,-0.10599515229380607,64.83522535019932,0.25425578568705615,0.003842400585508661,0.004757257867772627,-0.0009148572822639664,51,46,45
75,,0,0,0,4,0.0,6.0,6.0,0.48850209451438903,0.2109331819572674,0.6263144020149599,0.10438573366915999,0.5338497194437668,0.6555460681467025,-0.12169634870293566,26,26,64
76,,0,0,0,4,0.0,5.0,5.0,0.5190159923688483,0.22390069986369787,0.8712834827859411,0.17425669655718823,0.4141863869236399,0.5806090916483695,-0.1664227047247296,25,25,69
77,,0,0,0,73,0.0,72.0,72.0,0.5334810823279713,0.27024408510219944,2.5218408944704302,0.03502556797875597,0.30176059201431243,0.6654061966333252,-0.3636456046190128,23,23,88
78,,0,0,0,80,0.0,79.0,79.0,0.2531708322612219,-0.04251985706548855,17.465103816567296,0.22107726350085186,0.03635032934862162,0.19673497601040904,-0.16038464666178742,46,39,68
79,,0,0,0,7,0.0,24.0,24.0,0.29832181329720603,0.02561503131758558,4.082386434698644,0.17009943477911016,0.17849882085061397,0.7325770513133285,-0.5540782304627145,42,33,107
80,,0,0,0,9,0.0,32.0,32.0,0.33540934176525666,0.039590533338022205,5.927757193899313,0.18524241230935354,0.06940717248109295,0.29952427421322275,-0.2301171017321298,38,32,73
81,,0,0,0,95,14.0,246.0,232.0,0.7070115557916342,0.4862525067274803,24.398183572134315,0.1051645843626479,0.015389932503862731,0.07288363015369602,-0.05749369764983329,19,19,56
82,,0,0,0,69,40.0,246.0,206.0,0.5282447970752543,0.24516776260604312,35.76186447394828,0.17360128385411785,0.011079938196308042,0.16520289501504432,-0.15412295681873628,24,24,67
83,,0,0,0,107,27.0,134.0,107.0,0.30293258041003723,-0.053041321006698894,24.20278474952454,0.22619424999555646,0.012848662275351712,0.037244856469057494,-0.024396194193705784,41,41,47
84,,0,0,0,107,27.0,134.0,107.0,0.22200104980372723,-0.12897317524603413,25.60579764223529,0.23930652002089056,0.012157436773196714,0.04541758152394893,-0.033260144750752216,50,49,49
85,,0,0,0,47,3.0,246.0,243.0,0.2638537115697016,-0.05581466250145728,82.4381596026328,0.3392516856075424,0.00351711799625925,0.42412783605757504,-0.4206107180613158,44,42,94
86,,0,0,0,1,246.0,246.0,0.0,,,0.0,,1.0,1.0,0.0,90,90,3
87,,0,0,0,79,40.0,122.0,82.0,0.7609967067907818,0.5687918427107057,13.261386524829243,0.16172422591255176,0.027181426364153858,0.11681710986419452,-0.08963568350004067,18,17,61
88,,0,0,0,77,40.0,122.0,82.0,0.6581870264175823,0.40746012905604545,15.290430502338197,0.18646866466266093,0.02254614946734976,0.08447182239570628,-0.06192567292835652,20,20,58
89,internal_cooldown_timer,0,1,1,2,0.0,80.0,80.0,0.8155868638011009,0.6517802233347115,4.7592101244846186,0.05949012655605773,0.07379848743595999,0.9791819142880377,-0.9053834268520777,14,14,126
