field,dtype,per_step_shape,feature_dim,action_id,action_label,num_real_steps,mean_value,std_value,min_value,max_value,avg_l2_norm
cur_v,float32,"(1,)",1,0,NOOP,1139,1.7968345046619034,1.2647783833858084,-0.012864962220191956,7.987224102020264,1.7968570945867852
cur_v,float32,"(1,)",1,1,FIRE,13267,4.581986559130375,2.024161771746085,-0.3358849883079529,11.29665470123291,4.582235252422343
cur_v,float32,"(1,)",1,2,RIGHT,432,1.7241601004454963,1.1386975239300452,0.0,6.240056991577148,1.7241601004454963
cur_v,float32,"(1,)",1,3,LEFT,1791,2.1829139659007555,1.6052466379712442,-0.3410792946815491,6.914763450622559,2.184322241273574
cur_v,float32,"(1,)",1,4,RIGHTFIRE,16109,4.674411445451976,2.1869250999067993,-0.3055143356323242,11.91075325012207,4.674880780696474
cur_v,float32,"(1,)",1,5,LEFTFIRE,11068,4.556771216266642,3.3355048285964624,-0.2832370400428772,100.0,4.556851176802341
deprec,float32,"(1,)",1,0,NOOP,1139,0.8438864987706594,0.14105300445061789,0.6757292747497559,0.9900000095367432,0.8438864987706594
deprec,float32,"(1,)",1,1,FIRE,13267,0.933933558779977,0.08997371690997173,0.6757292747497559,0.9900000095367432,0.933933558779977
deprec,float32,"(1,)",1,2,RIGHT,432,0.7821018057013,0.13896365111960654,0.6757292747497559,0.9900000095367432,0.7821018057013
deprec,float32,"(1,)",1,3,LEFT,1791,0.7709170477074794,0.12741435757556333,0.6757292747497559,0.9900000095367432,0.7709170477074794
deprec,float32,"(1,)",1,4,RIGHTFIRE,16109,0.9278824359346897,0.10806527810364581,0.6757292747497559,0.9900000095367432,0.9278824359346897
deprec,float32,"(1,)",1,5,LEFTFIRE,11068,0.9373709004914929,0.07345258847497904,0.6757292747497559,0.9900000095367432,0.9373709004914929
k,float32,"(40,)",40,0,NOOP,1139,0.025,0.15612494995995996,0.0,1.0,1.0
k,float32,"(40,)",40,1,FIRE,13267,0.025,0.15612494995995996,0.0,1.0,1.0
k,float32,"(40,)",40,2,RIGHT,432,0.025,0.15612494995995996,0.0,1.0,1.0
k,float32,"(40,)",40,3,LEFT,1791,0.025,0.15612494995995996,0.0,1.0,1.0
k,float32,"(40,)",40,4,RIGHTFIRE,16109,0.025,0.15612494995995996,0.0,1.0,1.0
k,float32,"(40,)",40,5,LEFTFIRE,11068,0.025,0.15612494995995996,0.0,1.0,1.0
max_rollout_return,float32,"(1,)",1,0,NOOP,1139,2.3504752426705044,1.4446448426635963,-0.03799714893102646,12.54024887084961,2.350590627813831
max_rollout_return,float32,"(1,)",1,1,FIRE,13267,5.319339816629808,2.232631201147777,-0.14627410471439362,24.758987426757812,5.319388769430687
max_rollout_return,float32,"(1,)",1,2,RIGHT,432,2.3577640000816986,1.1819380293485342,0.03957677632570267,6.375696659088135,2.3577640000816986
max_rollout_return,float32,"(1,)",1,3,LEFT,1791,2.521666911546617,1.70883690636238,-0.04402926564216614,9.440963745117188,2.521716078789099
max_rollout_return,float32,"(1,)",1,4,RIGHTFIRE,16109,5.6387022988922855,2.3895714743828127,-0.07646768540143967,13.698009490966797,5.6387224127766435
max_rollout_return,float32,"(1,)",1,5,LEFTFIRE,11068,5.29338580644331,3.1760596926427773,-0.10621512681245804,86.38672637939453,5.293404999635723
rollout_return,float32,"(1,)",1,0,NOOP,1139,1.9040539192910289,1.2823976584192338,-0.09740863740444183,8.796173095703125,1.9052372690712538
rollout_return,float32,"(1,)",1,1,FIRE,13267,4.712027984198596,2.111107776104486,-0.31227174401283264,14.88024616241455,4.712288355775522
rollout_return,float32,"(1,)",1,2,RIGHT,432,1.9247190964007233,1.0882829275895824,-0.06701620668172836,5.785215854644775,1.9255888728679296
rollout_return,float32,"(1,)",1,3,LEFT,1791,2.051700930105,1.565588083271729,-0.319197416305542,9.440963745117188,2.054339933786193
rollout_return,float32,"(1,)",1,4,RIGHTFIRE,16109,4.7919840446482596,2.1877110083851656,-0.2496177703142166,13.451262474060059,4.7923035227028805
rollout_return,float32,"(1,)",1,5,LEFTFIRE,11068,4.587917873383767,2.9393457306922226,-0.2074822187423706,86.32140350341797,4.588063371274793
root_action,float32,"(6,)",6,0,NOOP,1139,0.16666666666666666,0.37267799624996495,0.0,1.0,1.0
root_action,float32,"(6,)",6,1,FIRE,13267,0.16666666666666666,0.37267799624996495,0.0,1.0,1.0
root_action,float32,"(6,)",6,2,RIGHT,432,0.16666666666666666,0.37267799624996495,0.0,1.0,1.0
root_action,float32,"(6,)",6,3,LEFT,1791,0.16666666666666666,0.37267799624996495,0.0,1.0,1.0
root_action,float32,"(6,)",6,4,RIGHTFIRE,16109,0.16666666666666666,0.37267799624996495,0.0,1.0,1.0
root_action,float32,"(6,)",6,5,LEFTFIRE,11068,0.16666666666666666,0.37267799624996495,0.0,1.0,1.0
root_d,float32,"(1,)",1,0,NOOP,1139,0.0,0.0,0.0,0.0,0.0
root_d,float32,"(1,)",1,1,FIRE,13267,0.0,0.0,0.0,0.0,0.0
root_d,float32,"(1,)",1,2,RIGHT,432,0.0,0.0,0.0,0.0,0.0
root_d,float32,"(1,)",1,3,LEFT,1791,0.0,0.0,0.0,0.0,0.0
root_d,float32,"(1,)",1,4,RIGHTFIRE,16109,0.0,0.0,0.0,0.0,0.0
root_d,float32,"(1,)",1,5,LEFTFIRE,11068,0.0,0.0,0.0,0.0,0.0
root_ns,float32,"(6,)",6,0,NOOP,1139,0.021502780505091624,0.04942997672874129,0.0,0.8500000238418579,0.09425052818431064
root_ns,float32,"(6,)",6,1,FIRE,13267,0.04022574845005275,0.0886293367330524,0.0,1.399999976158142,0.1833315331237151
root_ns,float32,"(6,)",6,2,RIGHT,432,0.016888503319394118,0.041399983710012474,0.0,0.75,0.07490547108893024
root_ns,float32,"(6,)",6,3,LEFT,1791,0.011201842719917466,0.027407702363732526,0.0,0.4749999940395355,0.05149695463359032
root_ns,float32,"(6,)",6,4,RIGHTFIRE,16109,0.04689614537931134,0.09692137757736013,0.0,1.2000000476837158,0.20716589180118658
root_ns,float32,"(6,)",6,5,LEFTFIRE,11068,0.04019959967569618,0.10562006979638024,0.0,1.375,0.20968288346565364
